year,hid,province,district,zone,starch,pulses,meat,vegetables,oil,fruits,milk,sugar,FCS,FCG,FS_final,DDS,GDDS
2018,7574,4,404,6,7,4,0,5,0,0,0,0,31.0,2,3,3,1
2018,7575,2,204,5,7,7,0,7,7,3,0,3,50.0,3,1,5,2
2018,7576,4,403,3,7,6,0,3,1,0,0,0,35.5,3,2,4,1
2018,7577,2,208,5,7,7,1,7,3,0,0,0,47.5,3,1,5,2
2018,7578,3,302,1,7,2,0,5,0,0,0,0,25.0,2,3,3,1
2018,7579,5,502,9,7,7,0,7,7,0,0,7,49.0,3,2,4,1
2018,7580,4,402,4,7,6,0,7,0,0,0,0,39.0,3,2,3,1
2018,7581,4,402,4,7,5,0,3,3,0,0,0,33.5,2,3,4,1
2018,7582,4,403,3,7,7,0,7,2,0,0,0,43.0,3,1,4,1
2018,7583,5,502,11,7,7,0,3,1,0,0,1,39.0,3,2,4,1
2018,7584,4,404,6,7,5,0,3,3,0,0,0,33.5,2,3,4,1
2018,7585,3,307,1,7,5,1,6,7,0,0,0,42.5,3,2,5,2
2018,7586,3,304,2,7,7,0,7,3,2,0,0,45.5,3,2,5,2
2018,7587,5,507,8,7,3,0,0,0,0,0,2,24.0,2,2,2,1
2018,7588,3,307,1,7,4,1,4,7,1,0,0,38.5,3,2,6,2
2018,7589,5,505,10,7,7,0,4,3,0,0,0,40.5,3,2,4,1
2018,7590,2,202,5,7,3,0,7,3,0,0,0,31.5,2,3,4,1
2018,7591,2,208,5,7,7,0,7,7,3,0,3,50.0,3,1,5,2
2018,7592,2,207,5,7,5,2,7,6,7,0,3,55.5,3,2,6,2
2018,7593,2,207,4,7,4,0,7,3,0,0,0,34.5,2,3,4,1
2018,7594,5,505,10,7,7,0,7,4,5,0,7,52.5,3,2,5,2
2018,7595,5,505,12,7,3,0,3,0,0,0,0,26.0,2,3,3,1
2018,7596,3,303,3,7,7,0,0,0,0,1,0,39.0,3,2,3,1
2018,7597,5,505,10,7,3,0,3,0,0,0,0,26.0,2,3,3,1
2018,7598,3,301,4,7,4,0,7,0,0,0,0,33.0,2,3,3,1
2018,7599,3,301,4,7,6,0,5,3,0,0,0,38.5,3,1,4,1
2018,7600,3,301,4,7,7,0,0,3,0,0,1,37.0,3,2,3,1
2018,7601,2,202,5,7,7,0,7,3,0,0,2,44.5,3,1,4,1
2018,7602,3,301,1,7,5,0,4,3,0,0,0,34.5,2,3,4,1
2018,7603,4,402,4,7,7,0,7,0,0,0,0,42.0,3,2,3,1
2018,7604,3,303,3,7,7,0,3,0,0,0,0,38.0,3,3,3,1
2018,7605,4,403,6,7,6,0,0,4,2,3,2,49.0,3,1,5,2
2018,7606,2,205,4,7,7,0,7,7,0,0,5,48.0,3,2,4,1
2018,7607,5,504,10,7,4,0,4,0,0,0,3,31.5,2,2,3,1
2018,7608,4,403,3,7,2,0,0,0,0,0,0,20.0,1,3,2,1
2018,7609,5,505,12,7,2,0,1,0,0,0,0,21.0,1,3,3,1
2018,7610,4,402,4,7,7,0,0,0,0,0,3,36.5,3,1,2,1
2018,7611,4,403,3,7,7,0,5,2,0,0,1,41.5,3,2,4,1
2018,7612,2,202,5,7,7,0,0,7,2,0,0,40.5,3,1,4,1
2018,7613,4,404,3,7,7,0,7,4,0,0,0,44.0,3,2,4,1
2018,7614,4,403,3,7,7,1,5,2,0,0,0,45.0,3,1,5,2
2018,7615,2,206,5,7,7,0,5,7,0,0,7,47.0,3,1,4,1
2018,7616,2,201,5,7,7,0,5,7,1,0,0,44.5,3,1,5,2
2018,7617,5,505,12,7,3,0,7,4,0,0,2,33.0,2,3,4,1
2018,7618,3,307,1,7,7,0,7,4,0,0,0,44.0,3,3,4,1
2018,7619,5,502,9,7,7,0,3,7,2,1,3,49.0,3,1,6,2
2018,7620,4,402,4,7,5,0,7,2,0,0,1,37.5,3,2,4,1
2018,7621,5,502,9,7,4,0,3,2,0,0,0,30.0,2,3,4,1
2018,7622,4,403,3,7,3,0,7,4,0,0,1,32.5,2,3,4,1
2018,7623,1,102,4,7,7,0,7,7,0,0,3,47.0,3,2,4,1
2018,7624,4,405,7,7,5,0,6,5,1,0,0,38.5,3,2,5,2
2018,7625,1,102,4,7,7,0,7,7,7,0,3,54.0,3,2,5,2
2018,7626,3,303,3,7,3,0,3,2,1,0,0,28.0,2,3,5,2
2018,7627,2,202,5,7,7,0,7,7,0,0,0,45.5,3,2,4,1
2018,7628,3,304,4,7,4,0,4,0,0,0,0,30.0,2,3,3,1
2018,7629,2,202,5,7,7,0,4,2,0,0,3,41.5,3,2,4,1
2018,7630,3,304,3,7,7,0,3,0,0,0,3,39.5,3,1,3,1
2018,7631,3,304,2,7,7,0,7,6,0,3,0,57.0,3,1,5,2
2018,7632,4,401,7,7,7,0,4,5,0,0,0,41.5,3,1,4,1
2018,7633,4,403,3,7,7,0,7,2,0,0,0,43.0,3,2,4,1
2018,7634,3,304,2,7,3,0,7,0,0,0,0,30.0,2,3,3,1
