year,hhid,province,district,sector,maize,sorghum,cereals,cassava,sweet_potato,roots,bread,carrot_tubers,cooking_banana,beans_peas,cassava_leaves,vegetables,other_vegetables,ground_nuts,fruits,other_fruits,fish,organ_meat,flesh_meat,eggs,oil,sugar,milk,condiments,o_fcs
2012,9543,EAST,BUGESERA,MUSENYI,2,0,0,3,2,0,0,0,2,7,2,0,0,2,0,0,0,0,0,0,7,0,0,7,40.5
2012,9535,EAST,BUGESERA,MUSENYI,3,2,7,7,6,3,0,0,3,7,7,7,0,3,0,0,0,0,0,0,7,0,1,7,49.5
2012,9546,EAST,BUGESERA,MUSENYI,2,0,0,4,2,0,0,0,3,6,0,0,0,3,0,0,0,0,0,0,6,2,0,6,39.0
2012,9523,EAST,BUGESERA,MAYANGE,3,0,0,4,4,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,4,0,0,6,34.0
2012,9524,EAST,BUGESERA,MAYANGE,3,2,0,4,3,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,6,6,2,6,49.0
2012,9527,EAST,BUGESERA,MAYANGE,2,6,0,5,2,0,0,0,1,6,0,0,0,1,0,0,0,0,2,0,6,6,4,6,65.0
2012,9517,EAST,BUGESERA,MAYANGE,7,0,2,7,3,0,7,0,2,7,7,0,0,7,0,0,2,0,0,0,7,7,0,7,57.0
2012,9521,EAST,BUGESERA,MAYANGE,0,0,2,3,1,0,0,0,2,7,3,0,0,2,1,0,0,0,0,0,7,7,7,7,74.0
2012,9519,EAST,BUGESERA,MAYANGE,6,7,0,3,1,0,2,0,3,7,7,0,0,5,3,0,0,0,0,1,7,7,7,7,84.0
2012,9520,EAST,BUGESERA,MAYANGE,3,5,2,3,2,0,0,4,5,4,6,0,0,3,0,3,0,0,0,0,7,6,7,7,78.5
